BEDS,school,clean_school,charter,print_diff
401001060004,STARPOINT MIDDLE SCHOOL,Starpoint Middle,,
401501060000,WILSON CENTRAL SCHOOL DISTRICT,WILSON SCHOOL DISTRICT,,
401501060002,WILSON ELEMENTARY SCHOOL,Wilson Elementary,,
401501060003,WILSON HIGH SCHOOL,Wilson High,,
140600010309,NEWCOMER ACADEMY AT LAFAYETTE,Newcomer Academy at Lafayette,,
140600860863,WESTERN NEW YORK MARITIME CHARTER SCHOOL,WNY Maritime Charter,x,
140600861072,CHARTER SCHOOL OF INQUIRY,Charter School of Inquiry,x,
142601030025,KENMORE EAST SENIOR HIGH SCHOOL,Kenmore East High School,,
142601030026,KENMORE WEST SENIOR HIGH SCHOOL,Kenmore West High School,,
140101060007,ALDEN INTERMEDIATE SCHOOL,Alden Intermediate,1.41E+11,LEONARDO DA VINCI HIGH SCHOOL
400601000000,NEWFANE SENIOR HIGH SCHOOL,,,
141501060004,GRAND ISLAND SENIOR HIGH SCHOOL,,,
142301060006,ORCHARD PARK HIGH SCHOOL,,,
140707030003,DEPEW HIGH SCHOOL,,,
140600010107,LAFAYETTE HIGH SCHOOL,,,
400900000000,NORTH TONAWANDA HIGH SCHOOL,,,
140203060004,WILLIAMSVILLE SOUTH HIGH SCHOOL,,,
400400000000,LOCKPORT HIGH SCHOOL,,,
140709030004,JOHN F KENNEDY SENIOR HIGH SCHOOL,,,
142801060016,WEST SENECA EAST SENIOR HIGH SCHOOL,,,
140600010105,HUTCHINSON CENTRAL TECH HIGH SCHOOL,,,
142801060010,WEST SENECA WEST SENIOR HIGH SCHOOL,,,
400301000000,LEWISTON PORTER SENIOR HIGH SCHOOL,,,
140701060006,CHEEKTOWAGA HIGH SCHOOL,,,
140600010135,MIDDLE EARLY COLLEGE HIGH SCHOOL,,,
140600010110,SOUTH PARK HIGH SCHOOL,,,
140600010108,RIVERSIDE INSTITUTE OF TECHNOLOGY,,,
140600860961,HEALTH SCIENCES CHARTER SCHOOL,,,
140203060013,WILLIAMSVILLE EAST HIGH SCHOOL,,,
401301000000,BARKER JR/SR HIGH SCHOOL,,,
140702030006,MARYVALE HIGH SCHOOL,,,
140600010098,MCKINLEY VOC HIGH SCHOOL,,,
141604060008,FRONTIER SENIOR HIGH SCHOOL,,,
140600860868,ORACLE CHARTER SCHOOL,,,
400800000000,NIAGARA FALLS HIGH SCHOOL,,,
141601060007,HAMBURG HIGH SCHOOL,,,
401001000000,STARPOINT HIGH SCHOOL,,,
400701000000,NIAGARA-WHEATFIELD SR HIGH SCHOOL,,,
141301060006,IROQUOIS SENIOR HIGH SCHOOL,,,
140301030005,EAST AURORA HIGH SCHOOL,,,
140101060006,ALDEN SENIOR HIGH SCHOOL,,,
140201060002,AMHERST CENTRAL HIGH SCHOOL,,,
140600010042,PS 42 OCCUPATIONAL TRAINING CTR,,,
140207060006,SWEET HOME SENIOR HIGH SCHOOL,,,
142101040002,AKRON HIGH SCHOOL,,,
140703020003,CLEVELAND HILL HIGH SCHOOL,,,
140203060010,WILLIAMSVILLE NORTH HIGH SCHOOL,,,
140801060006,CLARENCE SENIOR HIGH SCHOOL,,,
140600010101,BURGARD VOC HIGH SCHOOL,,,
141401060003,LAKE SHORE SENIOR HIGH SCHOOL,,,
141800010008,LACKAWANNA HIGH SCHOOL,,,
401501000000,WILSON HIGH SCHOOL,,,
140600010104,EMERSON SCHOOL OF HOSPITALITY,,,
140600010099,BENNETT HIGH SCHOOL,,,
140600010084,PS 84,,,
141101060001,GRIFFITH INST HIGH SCHOOL,,,
141901060008,LANCASTER HIGH SCHOOL,,,
401201000000,ROYALTON-HARTLAND HIGH SCHOOL,,,
140600010307,EAST HIGH SCHOOL,,,
